aX,aY,aZ,gX,gY,gZ
-0.426,1.884,0.678,164.001,76.660,-47.485
-0.410,2.089,0.808,158.630,77.881,-53.101
-0.389,2.312,0.949,146.484,73.547,-54.565
-0.387,2.508,1.034,126.587,69.641,-53.162
-0.385,2.603,1.095,98.450,71.838,-49.744
-0.358,2.682,1.089,67.139,76.599,-44.556
-0.308,2.702,1.085,38.208,80.750,-39.856
-0.296,2.691,1.017,9.888,87.463,-37.476
-0.175,2.611,0.931,-14.648,103.149,-38.330
-0.179,2.489,0.808,-39.551,112.610,-29.785
-0.225,2.371,0.711,-64.026,117.554,-20.569
-0.244,2.225,0.665,-83.252,122.131,-14.893
-0.272,2.084,0.522,-100.098,128.418,-8.179
-0.407,1.900,0.445,-115.601,130.066,0.427
-0.581,1.740,0.355,-132.812,129.456,11.597
-0.727,1.590,0.260,-147.949,132.690,18.311
-0.883,1.438,0.171,-157.043,136.536,19.104
-1.068,1.295,0.098,-162.415,138.733,16.357
-1.201,1.161,0.039,-166.870,142.395,11.963
-1.301,0.987,-0.008,-170.288,147.705,9.399
-1.432,0.802,-0.073,-170.715,151.611,12.390
-1.594,0.650,-0.130,-167.175,150.940,19.836
-1.709,0.496,-0.113,-161.804,140.198,27.893
-1.822,0.387,-0.062,-157.349,120.239,35.645
-1.927,0.289,-0.011,-153.809,96.741,43.518
-2.127,0.153,0.015,-153.687,76.721,49.988
-2.172,0.032,-0.052,-155.762,63.232,55.847
-2.293,-0.161,-0.093,-158.508,40.833,61.768
-2.337,-0.241,-0.116,-157.166,20.752,56.580
-2.306,-0.354,-0.173,-149.475,15.320,44.739
-2.265,-0.522,-0.265,-138.672,15.503,32.532
-2.284,-0.684,-0.355,-124.756,11.047,28.198
-2.331,-0.814,-0.413,-111.023,0.610,29.724
-2.367,-0.906,-0.408,-93.018,-11.658,32.288
-2.412,-0.949,-0.378,-71.716,-25.879,33.508
-2.490,-0.956,-0.315,-50.354,-43.274,31.555
-2.574,-0.937,-0.212,-29.419,-59.143,24.841
-2.580,-0.919,-0.122,-10.986,-67.810,14.282
-2.564,-0.920,-0.086,2.502,-75.317,4.089
-2.561,-0.896,-0.062,12.695,-87.646,-5.615
-2.529,-0.841,-0.021,20.935,-101.135,-17.822
-2.465,-0.796,-0.014,28.809,-108.826,-29.297
-2.392,-0.753,-0.024,36.072,-113.220,-37.903
-2.342,-0.684,-0.045,43.579,-119.507,-45.349
-2.287,-0.614,-0.045,52.490,-128.418,-55.298
-2.196,-0.544,-0.000,62.744,-137.146,-67.078
-2.078,-0.448,0.045,70.740,-143.738,-79.285
-1.931,-0.335,0.123,77.087,-150.085,-91.431
-1.749,-0.226,0.206,80.444,-154.480,-104.370
-1.563,-0.131,0.236,80.627,-152.954,-116.699
-1.395,-0.063,0.217,79.651,-146.301,-127.686
-1.197,-0.023,0.188,80.261,-138.245,-137.817
-0.966,0.002,0.145,83.435,-131.531,-146.362
-0.744,0.016,0.130,89.050,-129.395,-151.611
-0.544,0.027,0.163,95.520,-129.333,-153.137
-0.332,0.028,0.202,101.196,-127.502,-151.367
-0.114,0.050,0.266,106.323,-126.587,-148.499
0.083,0.095,0.379,111.267,-125.732,-144.958
0.260,0.192,0.470,113.708,-122.864,-141.174
0.468,0.267,0.518,113.708,-119.446,-136.353
0.699,0.307,0.536,111.267,-116.882,-127.563
0.867,0.364,0.523,106.018,-115.112,-112.793
0.920,0.414,0.474,101.074,-110.962,-94.360
0.876,0.437,0.407,99.426,-100.525,-77.332
0.788,0.490,0.337,100.952,-83.923,-65.308
0.661,0.530,0.305,105.713,-67.566,-60.730
0.507,0.558,0.328,111.450,-52.490,-60.730
0.441,0.613,0.364,114.685,-38.330,-62.683
0.454,0.668,0.414,114.624,-30.396,-61.401
0.460,0.731,0.440,109.558,-32.104,-52.917
0.390,0.795,0.465,100.098,-41.199,-38.513
0.285,0.858,0.495,88.379,-51.086,-24.780
0.211,0.933,0.501,77.026,-55.237,-18.127
0.168,0.976,0.472,68.237,-52.368,-20.569
0.127,0.982,0.421,62.012,-43.274,-30.457
0.106,0.948,0.346,58.289,-30.701,-43.640
0.089,0.908,0.282,57.495,-18.494,-54.626
0.096,0.906,0.260,54.749,-8.972,-57.739
0.181,0.905,0.211,46.753,-4.211,-49.316
0.208,0.864,0.180,34.607,-9.216,-29.236
0.193,0.905,0.138,20.264,-17.944,-4.883
0.123,0.917,0.137,10.498,-22.827,12.390
0.018,0.936,0.142,6.287,-22.888,19.470
-0.092,0.949,0.138,5.188,-16.418,16.235
-0.196,0.957,0.102,5.127,-5.432,8.179
-0.266,0.945,0.039,2.808,6.409,0.000
-0.311,0.927,-0.022,0.610,15.381,-6.653
-0.338,0.915,-0.072,-1.343,21.851,-12.878
-0.310,0.891,-0.133,-2.319,26.917,-17.273
-0.255,0.856,-0.201,-3.906,26.917,-15.869
-0.251,0.836,-0.247,-5.615,19.958,-7.812
-0.286,0.843,-0.249,-6.836,9.705,2.258
-0.323,0.877,-0.223,-7.324,1.404,10.498
-0.371,0.901,-0.197,-7.080,-2.380,14.221
-0.418,0.915,-0.185,-6.348,-1.038,12.756
-0.448,0.924,-0.184,-4.822,4.333,6.836
-0.447,0.917,-0.183,-3.113,11.719,-0.549
-0.420,0.903,-0.182,-1.648,19.409,-6.958
-0.398,0.911,-0.172,1.160,25.208,-12.268
-0.380,0.916,-0.153,4.272,28.870,-16.968
-0.360,0.918,-0.136,6.409,31.311,-19.775
-0.350,0.925,-0.137,8.179,32.532,-20.630
-0.349,0.922,-0.137,10.193,30.823,-19.775
-0.352,0.918,-0.127,11.108,25.696,-16.235
-0.359,0.927,-0.105,10.498,17.456,-9.949
-0.383,0.941,-0.081,8.972,8.667,-2.502
-0.412,0.951,-0.064,6.836,1.404,3.967
-0.448,0.957,-0.054,4.700,-3.235,8.362
-0.468,0.958,-0.043,2.747,-5.066,9.888
-0.479,0.964,-0.042,0.366,-3.479,9.094
-0.475,0.952,-0.052,-1.282,0.793,6.042
-0.479,0.936,-0.050,-1.953,6.348,1.526
-0.448,0.953,-0.062,-3.235,13.123,-2.808
-0.452,0.939,-0.083,-3.845,17.761,-5.127
-0.448,0.921,-0.106,-4.639,20.020,-7.141
-0.406,0.895,-0.124,-4.028,20.508,-9.399
-0.350,0.874,-0.141,-2.686,18.494,-8.423
-0.329,0.864,-0.145,-2.319,13.733,-3.662
-0.352,0.863,-0.137,-2.075,8.484,2.136
0.051,2.050,0.619,67.078,24.719,4.822
0.007,2.107,0.644,50.964,37.598,6.531
0.097,2.157,0.620,35.522,57.190,2.869
0.165,2.143,0.610,25.879,71.838,4.333
0.137,2.151,0.574,9.216,77.881,12.207
0.084,2.131,0.565,-5.859,80.566,17.639
0.054,2.078,0.553,-16.235,83.984,20.081
0.005,2.005,0.544,-28.198,86.487,23.682
-0.073,1.930,0.520,-41.931,89.722,29.053
-0.154,1.844,0.479,-55.115,95.032,34.485
-0.199,1.740,0.448,-67.322,100.891,37.720
-0.211,1.617,0.429,-77.209,107.605,40.222
-0.228,1.495,0.404,-83.496,114.868,43.579
-0.291,1.375,0.384,-87.280,120.361,48.462
-0.404,1.246,0.349,-89.478,122.559,56.519
-0.560,1.126,0.317,-90.576,117.859,68.604
-0.734,1.009,0.324,-92.773,104.675,81.055
-0.893,0.891,0.360,-96.802,90.393,91.736
-1.064,0.752,0.361,-100.281,80.811,100.342
-1.272,0.633,0.342,-102.051,73.547,105.896
-1.497,0.519,0.320,-104.004,67.017,107.361
-1.706,0.368,0.299,-104.553,64.270,103.149
-1.879,0.250,0.257,-103.088,64.758,92.346
-2.022,0.152,0.181,-99.854,66.528,77.759
-2.140,0.023,0.108,-95.520,66.528,62.744
-2.244,-0.108,0.024,-92.529,63.538,50.232
-2.330,-0.207,-0.060,-89.417,58.411,39.734
-2.401,-0.313,-0.142,-84.717,51.392,29.541
-2.469,-0.420,-0.236,-78.491,42.480,20.508
-2.562,-0.480,-0.261,-70.435,29.419,11.475
-2.570,-0.507,-0.270,-61.829,18.066,6.836
-2.600,-0.556,-0.261,-57.068,0.916,7.324
-2.614,-0.555,-0.249,-53.406,-19.958,6.714
-2.616,-0.542,-0.190,-43.884,-40.588,0.244
-2.573,-0.524,-0.120,-34.180,-54.260,-9.583
-2.546,-0.501,-0.064,-28.137,-60.791,-21.057
-2.457,-0.473,-0.027,-21.545,-59.937,-35.156
-2.382,-0.465,0.000,-16.357,-59.143,-48.340
-2.305,-0.464,-0.020,-12.390,-57.922,-62.622
-2.201,-0.451,-0.043,-4.517,-57.678,-77.759
-2.084,-0.406,-0.075,4.272,-63.293,-90.088
-1.960,-0.352,-0.113,11.597,-75.073,-97.168
-1.815,-0.288,-0.144,18.005,-90.027,-99.548
-1.666,-0.202,-0.136,24.658,-105.408,-98.999
-1.545,-0.111,-0.084,29.907,-118.286,-97.778
-1.457,-0.013,-0.027,35.767,-126.282,-97.900
