aX,aY,aZ,gX,gY,gZ
-0.911,-0.334,1.479,-47.913,-139.832,-54.688
-0.953,-0.191,1.181,-109.680,-111.206,-85.388
-0.723,-0.098,1.220,-138.184,-59.509,-104.370
-0.592,-0.065,1.250,-137.939,-26.489,-100.830
-0.532,-0.149,1.379,-124.023,-11.047,-85.205
-0.541,-0.127,1.433,-120.300,-9.949,-75.562
-0.567,-0.071,1.529,-132.019,-13.794,-71.228
-0.716,-0.022,1.599,-151.428,-19.714,-74.646
-0.779,0.213,1.679,-162.537,-24.719,-84.412
-0.773,0.337,1.608,-149.963,-17.822,-103.088
-0.607,0.038,1.713,-129.761,-5.249,-131.958
-0.726,-0.146,1.496,-156.006,-10.315,-142.578
-0.563,-0.146,1.368,-174.683,-13.489,-150.391
-0.368,-0.108,1.237,-168.030,-30.823,-150.818
-0.207,-0.021,1.161,-152.161,-60.852,-136.230
-0.367,0.141,1.104,-133.667,-98.877,-110.840
-0.567,0.244,1.150,-123.291,-119.202,-88.196
-0.590,0.308,1.190,-125.549,-113.525,-89.722
-0.557,0.303,1.129,-134.827,-102.661,-99.548
-0.607,0.238,1.019,-144.592,-94.543,-109.131
-0.489,0.338,0.879,-153.564,-84.351,-131.042
-0.455,0.401,0.802,-155.396,-76.477,-140.320
-0.557,0.393,0.802,-155.884,-78.735,-136.536
-0.632,0.438,0.736,-154.785,-79.834,-136.719
-0.656,0.476,0.674,-149.475,-73.364,-136.230
-0.665,0.484,0.693,-142.273,-69.031,-135.254
-0.633,0.559,0.632,-147.095,-65.002,-128.479
-0.613,0.548,0.564,-156.677,-67.810,-115.356
-0.613,0.442,0.429,-164.429,-80.811,-88.928
-0.604,0.377,0.310,-159.851,-111.938,-38.635
-0.605,0.483,0.229,-155.518,-148.926,12.207
-0.502,0.654,0.260,-146.240,-171.509,21.057
-0.445,0.715,0.270,-127.930,-183.167,12.146
-0.417,0.700,0.255,-113.525,-183.777,4.822
-0.385,0.699,0.190,-106.750,-175.232,-4.089
-0.336,0.734,0.129,-108.887,-161.865,-21.423
-0.343,0.741,0.077,-106.750,-153.503,-37.170
-0.311,0.737,-0.012,-91.858,-155.151,-47.302
-0.210,0.734,-0.119,-84.534,-157.471,-53.955
-0.093,0.720,-0.214,-91.614,-155.212,-58.594
0.041,0.723,-0.294,-96.069,-150.330,-63.293
0.145,0.692,-0.352,-91.919,-143.555,-70.313
0.241,0.682,-0.396,-87.585,-132.629,-80.383
0.364,0.680,-0.401,-86.060,-117.981,-89.172
0.528,0.631,-0.406,-82.947,-104.431,-89.355
0.718,0.601,-0.406,-79.712,-91.980,-84.351
0.923,0.596,-0.430,-71.350,-84.961,-70.435
1.094,0.590,-0.456,-61.584,-80.933,-49.133
1.236,0.562,-0.465,-52.124,-75.745,-23.804
1.402,0.534,-0.489,-40.894,-66.284,1.770
1.606,0.506,-0.471,-27.832,-50.354,26.123
1.773,0.483,-0.472,-15.503,-29.358,50.720
1.916,0.450,-0.443,-3.357,-3.967,75.073
1.991,0.396,-0.351,10.559,23.621,100.952
1.926,0.360,-0.207,22.400,50.171,133.301
1.793,0.300,0.028,31.738,71.533,170.105
1.579,0.223,0.299,38.818,86.914,208.435
1.260,0.120,0.541,39.368,95.581,244.873
0.958,-0.031,0.714,37.415,100.769,277.893
0.770,-0.208,0.818,39.612,101.501,311.829
0.646,-0.380,0.918,42.175,97.351,347.107
0.504,-0.552,0.995,39.063,92.285,380.066
0.311,-0.731,1.065,32.043,91.492,407.410
0.092,-0.939,1.160,26.184,98.877,427.185
-0.275,-1.218,1.224,21.057,112.549,440.308
-0.656,-1.488,1.277,17.944,122.131,444.763
-0.988,-1.681,1.426,22.034,117.737,448.792
-1.384,-1.799,1.545,19.165,102.112,458.984
-1.837,-1.975,1.531,9.583,82.275,458.679
-2.120,-2.042,1.499,6.592,58.899,435.059
-2.258,-2.042,1.447,7.080,33.997,406.555
-2.468,-2.208,1.239,3.479,15.442,381.470
-2.670,-2.307,1.027,3.967,-0.183,342.224
-2.750,-2.202,0.897,15.015,-11.169,289.978
-2.693,-2.039,0.781,28.320,-13.489,238.037
-2.564,-1.901,0.604,33.264,-5.432,192.078
-2.366,-1.878,0.477,28.748,10.132,151.001
-2.107,-1.867,0.365,19.165,34.546,114.441
-1.921,-1.837,0.276,11.353,65.674,83.740
-1.864,-1.820,0.251,5.371,92.346,60.425
-2.176,-1.949,0.140,1.465,109.070,41.504
-2.775,-2.058,-0.042,2.747,104.248,9.521
-3.158,-1.956,0.015,30.945,63.660,-40.710
-3.139,-1.888,0.257,71.167,-4.456,-83.435
-2.905,-1.798,0.465,96.191,-73.608,-101.257
-2.706,-1.656,0.547,108.398,-120.911,-109.802
-2.570,-1.559,0.552,121.826,-137.573,-128.662
-2.409,-1.517,0.442,137.146,-126.282,-153.992
-2.292,-1.486,0.359,156.067,-105.774,-183.167
-2.233,-1.396,0.390,178.467,-94.788,-216.125
-2.085,-1.222,0.607,201.904,-97.839,-245.056
-1.924,-0.974,0.933,219.910,-116.028,-266.907
-1.809,-0.667,1.227,226.318,-138.428,-286.316
-1.636,-0.397,1.416,223.450,-152.344,-310.364
-1.406,-0.231,1.486,211.548,-158.630,-339.600
-1.220,-0.176,1.448,191.833,-159.973,-372.131
-0.888,-0.214,1.313,171.875,-157.349,-406.067
-0.552,-0.288,1.188,159.729,-163.513,-431.396
-0.147,-0.307,1.000,149.536,-178.040,-439.209
0.393,-0.289,0.834,144.958,-195.984,-430.725
0.845,-0.233,0.618,144.958,-218.506,-407.043
1.267,-0.100,0.363,149.414,-240.967,-373.474
1.597,0.055,0.130,163.147,-263.916,-330.200
1.764,0.263,0.021,177.185,-278.564,-281.006
1.769,0.561,0.131,184.448,-271.973,-240.845
1.648,0.896,0.358,181.152,-238.342,-217.102
1.339,0.953,0.634,167.969,-186.401,-214.294
1.111,1.142,0.734,138.794,-120.422,-245.605
1.115,1.142,0.573,111.206,-50.720,-268.555
1.259,0.910,0.327,100.342,-10.925,-263.428
1.291,0.759,0.119,97.290,-13.000,-217.468
1.148,0.756,0.034,98.022,-38.879,-151.917
0.960,0.818,0.073,109.192,-62.500,-99.182
0.873,0.932,0.200,122.620,-70.190,-69.397
0.833,1.085,0.433,128.235,-66.284,-55.115
0.561,1.213,0.571,124.878,-61.279,-53.955
0.296,1.318,0.736,126.343,-45.166,-78.979
0.152,1.369,0.718,130.981,-16.541,-117.493
0.183,1.274,0.638,138.123,9.583,-150.269
-1.096,-1.475,1.369,52.185,144.287,343.262
-1.615,-1.475,1.561,49.927,119.324,359.070
-2.138,-1.422,1.703,41.870,93.445,361.877
-2.636,-1.349,1.714,30.090,70.313,352.051
-2.958,-1.283,1.600,17.395,49.622,329.041
-3.036,-1.306,1.411,8.179,31.189,299.683
-3.029,-1.447,1.152,1.404,10.681,274.780
-3.023,-1.541,0.890,-2.991,-15.137,254.822
-3.104,-1.644,0.620,-0.244,-41.077,236.328
-3.131,-1.686,0.392,11.780,-63.660,209.900
-2.990,-1.562,0.307,30.090,-83.740,171.997
-2.920,-1.559,0.244,45.105,-94.543,132.629
-2.798,-1.492,0.190,53.101,-90.637,87.830
-2.776,-1.456,0.192,60.791,-82.947,47.363
-2.732,-1.360,0.184,65.063,-72.327,5.310
-2.636,-1.292,0.196,67.810,-63.721,-35.095
-2.525,-1.273,0.162,65.430,-60.974,-70.313
-2.442,-1.255,0.084,64.087,-63.538,-99.304
-2.360,-1.258,-0.049,71.716,-66.833,-125.916
-2.195,-1.273,-0.161,88.074,-71.960,-150.024
-1.956,-1.249,-0.185,108.032,-81.421,-166.016
-1.738,-1.151,-0.101,125.549,-96.985,-170.044
-1.588,-0.988,0.019,138.306,-111.755,-168.396
-1.463,-0.808,0.178,149.048,-120.361,-169.128
-1.369,-0.606,0.325,158.142,-123.718,-175.293
-1.370,-0.409,0.430,162.354,-125.183,-186.768
-1.375,-0.225,0.487,162.476,-121.765,-205.444
-1.336,-0.081,0.532,164.917,-112.671,-230.896
-1.331,0.041,0.583,158.936,-103.577,-264.404
-1.211,0.211,0.549,138.916,-93.628,-294.189
-0.900,0.221,0.502,139.282,-91.797,-321.533
-0.533,0.215,0.439,143.677,-106.750,-333.557
-0.256,0.261,0.377,138.000,-133.301,-318.726
-0.036,0.316,0.324,131.958,-158.142,-289.734
0.105,0.361,0.259,132.202,-175.903,-260.803
0.187,0.443,0.225,135.681,-185.242,-236.755
0.286,0.555,0.233,142.456,-186.157,-222.290
0.498,0.653,0.243,158.691,-180.115,-215.942
0.804,0.761,0.411,178.833,-173.523,-208.984
0.957,0.959,0.579,177.979,-171.265,-192.139
0.927,1.243,0.722,167.175,-166.992,-178.284
0.821,1.371,0.832,159.790,-152.710,-171.814
0.796,1.457,0.808,132.202,-124.634,-172.974
0.815,1.420,0.653,98.145,-87.341,-182.434
0.873,1.279,0.469,81.970,-52.673,-185.913
0.901,1.180,0.307,71.106,-31.616,-177.795
0.955,1.113,0.151,63.416,-24.597,-156.433
1.011,1.045,0.055,65.063,-32.227,-121.826
0.966,1.035,0.067,68.420,-51.758,-77.942
0.771,1.131,0.143,67.383,-72.510,-35.522
0.542,1.224,0.243,63.965,-80.444,-9.766
0.354,1.244,0.289,59.509,-69.702,-3.723
0.190,1.191,0.293,54.199,-47.485,-11.902
0.063,1.155,0.266,46.692,-22.949,-28.259
-0.040,1.109,0.215,36.316,0.916,-46.936
-0.063,1.067,0.150,30.762,22.888,-67.261
0.022,1.031,0.085,32.776,38.025,-83.984
0.121,0.928,0.054,35.156,36.377,-84.778
0.118,0.930,0.051,39.490,15.320,-70.068
0.136,0.997,0.086,40.039,-2.075,-49.927
0.056,1.023,0.110,30.151,-10.681,-20.386
-0.067,1.004,0.062,11.780,-14.648,7.507
-0.155,0.978,0.038,5.127,-15.991,17.944
-0.211,0.985,0.039,6.592,-15.198,18.433
-0.278,0.990,0.038,4.272,-12.451,14.160
-0.322,0.972,0.019,1.221,-4.211,7.324
-0.337,0.922,-0.023,0.183,5.920,0.000
-0.357,0.890,-0.057,-0.793,13.184,-5.737
-0.337,0.890,-0.067,-2.319,19.287,-10.498
-0.310,0.887,-0.066,-2.075,23.315,-13.672
