aX,aY,aZ,gX,gY,gZ
-0.966,-0.324,1.820,190.552,116.821,32.349
-1.169,-0.157,1.909,163.086,122.986,0.977
-1.187,-0.032,1.851,138.306,130.249,-35.706
-1.165,0.092,1.749,119.324,129.211,-66.345
-1.280,0.213,1.656,107.483,115.601,-82.458
-1.250,0.399,1.624,100.891,100.464,-89.355
-1.212,0.641,1.633,97.046,82.458,-87.280
-1.288,0.864,1.673,91.187,62.744,-78.857
-1.313,1.078,1.723,79.895,55.481,-76.660
-1.243,1.274,1.787,62.622,56.763,-78.735
-1.177,1.489,1.843,39.673,56.152,-75.623
-1.270,1.636,1.817,12.634,54.871,-69.458
-1.222,1.645,1.760,-13.367,63.232,-73.120
-1.306,1.543,1.598,-33.081,50.598,-62.012
-1.412,1.448,1.501,-40.955,28.625,-53.345
-1.409,1.498,1.427,-35.583,8.057,-64.392
-1.269,1.540,1.376,-29.419,-16.174,-67.017
-1.119,1.634,1.340,-30.945,-44.556,-53.650
-0.996,1.695,1.280,-38.940,-65.613,-42.175
-0.830,1.711,1.184,-52.002,-69.397,-41.077
-0.683,1.682,1.063,-69.519,-61.218,-45.959
-0.554,1.623,0.962,-87.097,-49.011,-49.255
-0.424,1.580,0.884,-103.699,-38.940,-46.814
-0.329,1.514,0.800,-118.164,-32.593,-37.781
-0.203,1.414,0.697,-129.395,-27.893,-24.536
-0.086,1.302,0.603,-135.254,-23.926,-8.545
-0.032,1.180,0.516,-138.977,-20.142,8.789
-0.001,1.033,0.430,-140.564,-13.916,26.917
0.022,0.885,0.328,-139.709,-5.798,44.983
0.014,0.714,0.245,-138.550,2.014,63.171
-0.023,0.556,0.207,-136.475,10.681,80.933
-0.078,0.453,0.205,-136.047,20.447,97.046
-0.129,0.319,0.177,-139.465,25.940,108.398
-0.275,0.187,0.178,-147.949,24.780,115.906
-0.437,0.085,0.146,-147.949,34.241,118.713
-0.524,-0.046,0.143,-141.357,48.096,114.014
-0.560,-0.165,0.146,-132.812,59.143,108.582
-0.600,-0.260,0.158,-126.099,61.157,106.079
-0.594,-0.353,0.204,-121.643,58.044,107.117
-0.787,-0.346,0.029,-116.943,43.457,105.713
-0.790,-0.424,0.007,-109.680,40.466,99.915
-0.724,-0.426,-0.029,-101.624,51.941,93.262
-0.670,-0.427,-0.048,-95.093,62.927,86.121
-0.666,-0.428,-0.032,-90.271,73.792,76.782
-0.848,-0.467,0.039,-88.196,83.984,65.002
-0.920,-0.517,0.042,-83.252,91.736,58.228
-0.872,-0.590,0.062,-72.693,98.755,54.932
-0.909,-0.670,0.137,-56.213,101.807,53.772
-1.013,-0.706,0.282,-35.461,93.933,55.908
-1.153,-0.725,0.463,-16.418,82.397,62.012
-1.324,-0.751,0.677,-0.244,68.176,69.519
-1.507,-0.769,0.870,14.160,51.819,76.477
-1.734,-0.838,1.033,26.184,34.546,82.214
-1.971,-0.923,1.172,35.583,14.648,84.167
-2.172,-1.009,1.274,43.640,-3.845,81.726
-2.349,-1.130,1.332,50.232,-20.081,74.890
-2.588,-1.270,1.363,56.152,-37.292,64.453
-2.669,-1.368,1.365,64.636,-54.443,47.546
-2.831,-1.453,1.354,76.843,-84.534,38.452
-2.980,-1.565,1.377,91.492,-116.821,36.255
-3.072,-1.582,1.395,104.736,-145.935,16.357
-3.031,-1.566,1.406,112.854,-162.476,-12.329
-2.898,-1.564,1.389,114.380,-166.870,-48.950
-2.806,-1.539,1.352,110.168,-165.833,-92.957
-2.555,-1.563,1.325,102.356,-151.733,-146.179
-2.236,-1.494,1.281,95.703,-132.385,-213.501
-1.941,-1.386,1.252,87.646,-116.333,-270.264
-1.585,-1.257,1.215,77.759,-100.525,-318.298
-1.154,-1.130,1.171,67.810,-88.684,-354.492
-0.688,-0.978,1.112,58.960,-82.153,-377.747
-0.260,-0.780,1.038,52.002,-81.116,-390.686
0.122,-0.565,0.965,47.546,-82.153,-393.066
0.510,-0.309,0.869,47.241,-84.229,-385.925
0.918,-0.078,0.733,54.504,-88.684,-365.356
1.293,0.107,0.617,67.688,-96.802,-329.956
1.471,0.352,0.568,77.148,-109.741,-287.354
1.407,0.557,0.593,80.017,-117.798,-249.329
1.255,0.676,0.593,77.576,-107.422,-226.624
1.117,0.738,0.536,71.899,-76.782,-223.755
0.990,0.704,0.470,65.369,-32.837,-234.619
0.911,0.664,0.389,57.373,10.376,-249.451
0.939,0.650,0.296,53.040,43.762,-259.155
1.036,0.638,0.241,59.387,66.528,-258.240
1.216,0.646,0.333,69.214,75.439,-241.638
1.346,0.811,0.488,68.848,65.857,-208.557
1.311,0.987,0.644,59.692,40.588,-164.246
1.193,1.070,0.772,50.781,14.343,-119.385
1.045,1.087,0.847,40.833,-2.991,-82.275
