aX,aY,aZ,gX,gY,gZ
-0.559,-1.366,1.515,151.001,125.244,439.758
-0.841,-1.387,1.644,162.476,100.464,454.651
-1.210,-1.484,1.741,164.673,75.378,461.365
-1.471,-1.509,1.851,161.377,51.392,456.055
-1.660,-1.417,1.873,151.367,35.034,438.782
-1.806,-1.386,1.901,133.972,26.672,408.875
-1.890,-1.315,1.865,109.009,27.771,366.211
-2.226,-1.446,1.682,82.153,31.616,314.453
-2.585,-1.602,1.586,69.885,27.466,254.089
-2.693,-1.515,1.560,62.744,15.320,191.162
-2.549,-1.347,1.512,52.795,5.432,124.329
-2.305,-1.282,1.397,43.457,4.456,60.242
-2.060,-1.379,1.198,36.438,7.324,10.132
-1.826,-1.477,0.973,33.997,8.362,-20.752
-1.670,-1.496,0.810,40.771,4.028,-36.804
-1.531,-1.448,0.770,56.030,-1.465,-43.640
-1.356,-1.319,0.780,69.153,-4.028,-46.448
-1.512,-0.994,1.016,76.843,1.648,-49.500
-1.066,-1.339,0.633,79.468,21.179,-63.538
-1.465,-1.365,0.495,87.524,10.193,-62.988
-2.008,-1.470,0.492,108.032,-10.071,-69.153
-2.272,-1.512,0.751,139.404,-37.598,-95.337
-2.274,-1.353,1.042,166.138,-72.266,-134.460
-2.217,-1.254,1.321,182.861,-107.788,-173.157
-2.053,-1.125,1.610,192.383,-141.785,-213.135
-1.858,-0.939,1.833,191.772,-169.495,-247.375
-1.663,-0.641,2.006,179.932,-182.983,-276.245
-1.545,-0.231,2.086,158.447,-172.241,-312.988
-1.433,0.067,2.024,124.634,-126.892,-370.300
-1.151,0.157,1.822,83.374,-61.401,-446.716
-0.805,0.092,1.625,43.518,-13.672,-519.714
-0.466,0.007,1.506,14.160,-10.803,-564.819
-0.053,0.014,1.475,0.671,-36.926,-580.994
0.567,0.086,1.474,-0.916,-70.984,-576.721
1.095,0.220,1.473,3.357,-121.948,-549.744
1.326,0.450,1.522,7.263,-181.702,-499.207
1.395,0.663,1.515,8.118,-215.088,-445.068
1.486,0.805,1.357,5.737,-207.214,-405.090
1.629,0.857,1.121,0.610,-177.246,-379.272
1.700,0.873,0.858,-7.385,-149.841,-357.666
1.689,0.880,0.582,-16.724,-128.357,-328.186
1.648,0.906,0.334,-24.658,-102.905,-291.748
1.598,0.928,0.131,-28.381,-73.120,-251.770
1.513,0.933,0.001,-23.621,-48.401,-213.257
1.434,0.884,-0.084,-9.277,-34.119,-173.157
1.335,0.795,-0.065,2.930,-35.156,-124.390
1.148,0.801,-0.001,-0.488,-49.316,-64.209
0.849,0.813,0.071,-9.888,-61.829,-14.038
0.594,0.826,0.157,-12.817,-51.575,4.272
0.446,0.800,0.162,-19.836,-18.982,3.906
0.322,0.729,0.072,-29.968,17.212,-1.465
0.241,0.619,-0.015,-29.480,45.532,-14.038
0.112,0.541,-0.071,-14.343,51.208,-25.574
-0.085,0.514,-0.056,4.333,41.016,-26.855
-0.224,0.516,0.045,16.968,28.381,-18.494
-0.313,0.566,0.135,25.085,11.230,3.052
-0.356,0.657,0.269,24.475,-6.531,32.410
-0.435,0.774,0.415,22.705,-26.245,53.955
-0.512,0.855,0.551,21.118,-40.833,62.317
-0.556,0.888,0.615,15.076,-45.227,60.120
-0.574,0.884,0.608,6.042,-40.161,49.988
-0.583,0.843,0.567,-3.296,-29.175,34.851
-0.570,0.800,0.521,-10.986,-15.015,17.456
-0.558,0.769,0.450,-17.029,0.305,1.831
-0.566,0.712,0.387,-19.287,14.099,-10.071
-0.563,0.687,0.372,-17.090,21.484,-17.578
-0.568,0.691,0.393,-13.611,22.644,-19.104
-0.563,0.716,0.422,-10.376,19.470,-17.273
-0.528,0.743,0.464,-7.446,14.465,-14.587
-0.480,0.782,0.497,-6.470,9.888,-10.498
-0.452,0.804,0.519,-8.789,5.615,-5.554
-0.429,0.822,0.528,-12.573,3.967,-1.892
-0.427,0.817,0.517,-16.113,4.822,1.160
-0.453,0.782,0.490,-18.433,6.653,3.113
-0.467,0.749,0.460,-19.287,8.240,3.174
-0.471,0.720,0.429,-17.761,8.667,2.625
-0.472,0.699,0.404,-14.526,8.423,2.258
-0.464,0.693,0.393,-10.986,7.629,1.831
-0.445,0.698,0.388,-8.362,6.104,1.587
-0.420,0.709,0.391,-7.019,5.005,2.014
-0.409,0.722,0.394,-6.348,5.981,2.380
-0.413,0.731,0.399,-6.470,8.423,2.014
-0.428,0.734,0.403,-7.080,12.024,0.916
-0.450,0.729,0.399,-8.179,15.076,0.244
-0.486,0.719,0.390,-8.972,15.625,0.305
-0.509,0.714,0.395,-8.118,12.756,-0.122
-0.503,0.726,0.400,-5.920,7.507,0.061
-0.499,0.745,0.407,-3.601,2.075,1.099
-0.480,0.762,0.420,-0.916,-2.502,1.892
-0.452,0.781,0.431,1.099,-5.310,2.380
-0.428,0.807,0.440,0.854,-6.042,2.258
-0.411,0.820,0.442,-0.488,-3.723,1.343
-0.407,0.815,0.438,-1.892,0.549,-0.732
-0.417,0.800,0.435,-2.991,5.127,-3.174
-0.419,0.798,0.434,-4.395,9.338,-5.981
-0.425,0.801,0.437,-6.409,12.939,-8.484
-0.436,0.797,0.430,-9.277,16.174,-11.414
-0.441,0.794,0.417,-11.353,19.470,-15.930
-0.429,0.790,0.402,-11.841,23.621,-21.973
-0.410,0.789,0.388,-11.597,28.992,-27.771
-0.396,0.768,0.367,-12.024,34.668,-31.982
-0.376,0.773,0.344,-10.864,41.565,-34.363
-0.384,0.800,0.349,-10.864,49.683,-34.241
-0.367,0.805,0.369,-13.000,56.519,-35.339
-0.306,0.785,0.389,-15.991,57.983,-34.302
-0.284,0.802,0.318,-17.456,49.194,-28.442
-0.264,0.801,0.339,-15.137,47.241,-19.165
-0.279,0.792,0.350,-11.902,43.762,-11.475
-0.303,0.798,0.339,-6.409,36.438,-6.653
-0.323,0.758,0.390,-2.563,29.785,-4.456
-0.379,0.807,0.339,-0.305,18.555,-5.310
-0.353,0.773,0.441,2.319,18.127,-5.676
-0.345,0.823,0.437,0.061,20.935,-9.216
-0.336,0.838,0.427,-1.709,24.475,-14.587
-0.350,0.821,0.415,-4.578,30.151,-22.217
-0.383,0.809,0.386,-6.042,34.851,-32.776
-0.360,0.793,0.406,-3.235,38.940,-41.138
-0.333,0.833,0.394,-1.404,39.307,-42.542
-0.309,0.845,0.422,0.183,36.987,-39.001
-0.949,-0.710,1.102,58.899,140.503,229.675
-1.051,-0.814,1.086,69.031,143.799,225.708
-1.208,-0.904,1.036,78.491,140.320,220.764
-1.240,-0.869,1.055,89.294,125.854,214.355
-1.287,-0.792,1.170,96.008,103.699,206.726
-1.451,-0.779,1.235,96.558,82.336,198.547
-1.621,-0.774,1.244,94.421,64.148,184.631
-1.806,-0.772,1.209,92.529,48.950,162.537
-2.034,-0.764,1.134,92.163,35.278,132.568
-2.203,-0.697,1.099,94.849,19.287,92.529
-2.251,-0.656,1.118,95.642,5.432,44.128
-2.186,-0.714,1.143,91.919,-0.061,-3.540
-2.097,-0.784,1.149,88.501,-3.662,-42.542
-1.999,-0.827,1.153,88.318,-12.695,-71.533
-1.945,-0.857,1.141,89.172,-26.367,-92.468
-2.063,-0.869,1.086,91.370,-44.312,-107.849
-2.115,-0.895,1.024,97.351,-63.049,-127.197
-2.065,-0.870,1.003,108.521,-86.670,-147.949
-1.962,-0.818,1.020,117.188,-110.840,-164.551
-1.809,-0.737,1.048,121.216,-126.587,-177.368
-1.721,-0.662,1.076,119.080,-134.949,-188.477
-1.704,-0.549,1.111,113.159,-136.597,-205.261
-1.652,-0.399,1.152,107.727,-132.080,-231.628
-1.557,-0.270,1.259,98.633,-121.765,-264.038
-1.402,-0.155,1.290,78.674,-93.079,-298.584
-1.235,-0.096,1.302,56.335,-55.115,-343.384
-1.108,-0.047,1.263,33.081,-19.043,-390.686
-0.924,-0.041,1.150,13.245,16.418,-437.134
-0.703,-0.053,1.001,0.122,38.208,-475.525
-0.452,-0.066,0.841,-6.287,37.231,-497.925
-0.126,-0.065,0.706,-7.690,14.771,-499.023
0.269,-0.032,0.603,-5.798,-27.100,-474.670
0.575,0.050,0.553,-5.066,-82.520,-428.650
0.726,0.204,0.587,-6.592,-138.428,-371.643
0.702,0.393,0.676,-7.324,-174.988,-316.833
0.629,0.567,0.755,-8.545,-179.993,-281.128
0.528,0.611,0.780,-8.911,-157.593,-266.541
0.508,0.631,0.755,-9.094,-118.774,-271.667
0.571,0.641,0.704,-12.512,-71.655,-284.790
0.643,0.589,0.585,-20.996,-25.269,-295.715
0.758,0.549,0.455,-23.621,5.310,-298.279
0.929,0.534,0.362,-22.095,15.137,-287.231
1.055,0.579,0.324,-20.264,4.272,-260.071
1.097,0.627,0.351,-21.301,-15.198,-218.628
1.089,0.691,0.363,-24.475,-24.170,-173.157
0.998,0.739,0.339,-25.391,-20.813,-135.559
0.846,0.744,0.302,-21.851,-10.681,-114.197
0.701,0.732,0.282,-13.855,1.648,-107.300
0.526,0.697,0.307,-5.310,13.733,-105.225
0.378,0.704,0.357,-0.977,26.855,-104.492
0.355,0.708,0.375,1.160,37.720,-101.257
0.437,0.697,0.349,4.822,34.241,-88.623
0.535,0.702,0.374,10.254,12.146,-64.392
0.562,0.754,0.456,12.329,-19.836,-31.616
0.460,0.812,0.512,9.583,-50.415,4.578
0.343,0.833,0.516,4.944,-67.810,35.645
0.206,0.844,0.495,0.977,-73.486,57.861
0.046,0.825,0.480,-0.122,-70.190,65.552
-0.077,0.830,0.477,1.343,-56.824,59.937
-0.149,0.833,0.484,3.723,-39.307,48.096
-0.244,0.816,0.482,4.333,-24.536,38.147
-0.366,0.799,0.476,4.456,-15.930,29.236
-0.423,0.818,0.492,6.836,-13.489,18.921
-0.404,0.837,0.522,8.423,-12.573,9.705
-0.362,0.845,0.558,6.775,-10.864,5.554
